"...1";"the weight of the stock-picking concept";"...3";"...4";"...5";"...6";"...7";"the original investment performance indicator";"...9";"...10";"...11";"...12";"...13";"the normalized  investment performance indicator";"...15";"...16";"...17";"...18";"...19"
"28";"27";"0.33300000000000002";"0";"0.33300000000000002";"0";"0.33300000000000002";"0";"6.7276680462438732E-2";"1.9678017951019817E-2";"1.6140180233280355";"0.17391541906744357";"0.55000000000000004";"0.6";"0.67706512060106938";"0.70044343802484099";"0.62864290736837247";"0.60812733237987615";"0.56000000000000005";"0.6"
"29";"28";"0";"0.33300000000000002";"0.33300000000000002";"0";"0.33300000000000002";"0";"5.0169828902355995E-2";"1.1823257174882786E-2";"1.2109465536005934";"0.11956286224767861";"0.55000000000000004";"0.65";"0.60942743648493858";"0.58661695807591707";"0.41618803708009378";"0.37483142103406875";"0.56000000000000005";"0.66666666666666674"
"30";"29";"0.33300000000000002";"0";"0";"0.33300000000000002";"0.33300000000000002";"0";"5.0156773541737198E-2";"1.2625918870208565E-2";"1.3403148753312979";"0.1366356924668638";"0.6";"0.55000000000000004";"0.60937581773122129";"0.59824864973052938";"0.48437676309261585";"0.4481126375634934";"0.67999999999999994";"0.53333333333333344"
"31";"30";"0";"0.33300000000000002";"0";"0.33300000000000002";"0.33300000000000002";"0";"4.262873378500931E-2";"1.0663667528110526E-2";"1.1593358089320964";"0.12222033020043419";"0.65";"0.6";"0.57961118376038834";"0.5698128807221805";"0.38898453872422767";"0.38623799404895476";"0.8";"0.6"
"32";"31";"0";"0";"0.33300000000000002";"0.33300000000000002";"0.33300000000000002";"0";"7.8880368588627903E-2";"1.9773674818555687E-2";"1.3741202865544662";"0.14053943008612008";"0.6";"0.65";"0.72294419947801769";"0.70182963995063696";"0.50219525136546905";"0.46486853790796667";"0.67999999999999994";"0.66666666666666674"
"33";"32";"0.33300000000000002";"0.33300000000000002";"0";"0";"0";"0.33300000000000002";"1.6850728706694351E-2";"3.2165642131528963E-3";"0.91125753814825083";"9.6577427501864641E-2";"0.65";"0.45";"0.47768918142656697";"0.46189392808738416";"0.25822500648454327";"0.27617170269761226";"0.8";"0.4"
"34";"33";"0.33300000000000002";"0";"0.33300000000000002";"0";"0";"0.33300000000000002";"2.4269873888216331E-4";"8.1964644189775563E-4";"1.2212393651482831";"0.12998193904186819";"0.6";"0.5";"0.41202375603787067";"0.42715923400760192";"0.42161327331362031";"0.41955292372515274";"0.67999999999999994";"0.46666666666666667"
"35";"34";"0";"0.33300000000000002";"0.33300000000000002";"0";"0";"0.33300000000000002";"4.5848115404446776E-2";"1.0186300775142874E-2";"1.0020489599689995";"0.1009197755720657";"0.55000000000000004";"0.55000000000000004";"0.59234009043617264";"0.56289516818024898";"0.30608024108911325";"0.29481023802498579";"0.56000000000000005";"0.53333333333333344"
"36";"35";"0.33300000000000002";"0";"0";"0.33300000000000002";"0";"0.33300000000000002";"2.0810171961326951E-2";"4.8070883740686764E-3";"1.1172532270099866";"0.11728610029465936";"0.55000000000000004";"0.55000000000000004";"0.4933441703759941";"0.48494284983949842";"0.36680323799931303";"0.36505894139693906";"0.56000000000000005";"0.53333333333333344"
"37";"36";"0";"0.33300000000000002";"0";"0.33300000000000002";"0";"0.33300000000000002";"2.2176769661240714E-2";"4.3070010644056756E-3";"0.94852031182401253";"9.7112458963345985E-2";"0.55000000000000004";"0.4";"0.4987474734452908";"0.47769588462332013";"0.27786583532618447";"0.27846820280190138";"0.56000000000000005";"0.33333333333333337"
"38";"37";"0";"0";"0.33300000000000002";"0.33300000000000002";"0";"0.33300000000000002";"4.6156023492667453E-2";"1.1155051509173487E-2";"1.2040410674657709";"0.12430157495068442";"0.55000000000000004";"0.45";"0.59355750849435396";"0.57693372252268582";"0.41254822560436888";"0.39517126083810311";"0.56000000000000005";"0.4"
"39";"38";"0.33300000000000002";"0";"0";"0";"0.33300000000000002";"0.33300000000000002";"1.7749419276583689E-2";"3.0692288001534663E-3";"0.92485341221512485";"9.3598086255725119E-2";"0.6";"0.5";"0.48124245647959651";"0.45975883169024168";"0.26539125336201819";"0.26338356223288412";"0.67999999999999994";"0.46666666666666667"
"40";"39";"0";"0.33300000000000002";"0";"0";"0.33300000000000002";"0.33300000000000002";"2.4029100008578608E-2";"4.3496393240607858E-3";"0.85793281681131772";"8.4849466276000401E-2";"0.65";"0.45";"0.50607128370177956";"0.47831377269731906";"0.2301180884671071";"0.22583211312707471";"0.8";"0.4"
"41";"40";"0";"0";"0.33300000000000002";"0";"0.33300000000000002";"0.33300000000000002";"1.7236817373218694E-2";"2.7379817713034816E-3";"0.90535241951273604";"8.9762384788371619E-2";"0.55000000000000004";"0.5";"0.47921571266321644";"0.45495859851164749";"0.25511247853858487";"0.24691969150010418";"0.56000000000000005";"0.46666666666666667"
"42";"41";"0";"0";"0";"0.33300000000000002";"0.33300000000000002";"0.33300000000000002";"1.0021122254600057E-2";"1.1088278762820302E-3";"0.88915352037009687";"9.0853155751414602E-2";"0.6";"0.45";"0.45068603814085945";"0.43134987783249651";"0.24657420363044147";"0.25160157623160812";"0.67999999999999994";"0.4"
"43";"42";"0.25";"0.25";"0.25";"0.25";"0";"0";"9.611754371359349E-2";"2.4658226966656926E-2";"1.4810312672566399";"0.1536010230585366";"0.55000000000000004";"0.5";"0.79109716158574606";"0.7726136387242768";"0.55854694143381378";"0.52093243654354671";"0.56000000000000005";"0.46666666666666667"
"44";"43";"0.25";"0.25";"0.25";"0";"0.25";"0";"5.7956685542900122E-2";"1.4617654936020429E-2";"1.3471089132883312";"0.13655621762834305";"0.55000000000000004";"0.7";"0.64021538994679528";"0.62711169366274444";"0.48795783136785542";"0.4477715100072821";"0.56000000000000005";"0.73333333333333339"
"45";"44";"0.25";"0.25";"0";"0.25";"0.25";"0";"6.423121224715822E-2";"1.5551437294014259E-2";"1.2170779069265907";"0.12514939277161533";"0.65";"0.65";"0.66502383898899797";"0.64064350728229513";"0.4194198110293817";"0.39881032480790274";"0.8";"0.66666666666666674"
"46";"45";"0.25";"0";"0.25";"0.25";"0.25";"0";"6.5554460518552737E-2";"1.8070886037953388E-2";"1.5790282220561636";"0.16254880953586406";"0.55000000000000004";"0.45";"0.67025574553085643";"0.67715384669397682";"0.6102001391524654";"0.55933876226025525";"0.56000000000000005";"0.4"
"47";"46";"0";"0.25";"0.25";"0.25";"0.25";"0";"6.7667851735578211E-2";"1.6739845492181341E-2";"1.2694502053414718";"0.13035552524598099";"0.6";"0.55000000000000004";"0.67861174763030319";"0.65786520579038488";"0.44702471661586868";"0.42115645700958915";"0.67999999999999994";"0.53333333333333344"
"48";"47";"0.25";"0.25";"0.25";"0";"0";"0.25";"4.292905240465017E-2";"1.0375435783354127E-2";"1.1360646330057029";"0.1174684932378588";"0.6";"0.6";"0.58079859430511172";"0.56563599922951557";"0.37671853868646549";"0.36584182136425802";"0.67999999999999994";"0.6"
"49";"48";"0.25";"0.25";"0";"0.25";"0";"0.25";"3.3564797910713651E-2";"7.2516217020963097E-3";"0.99695514280902198";"0.10245099644924348";"0.55000000000000004";"0.6";"0.54377386855593512";"0.52036755999649675";"0.3033953418956104";"0.30138265321416435";"0.56000000000000005";"0.6"
"50";"49";"0.25";"0";"0.25";"0.25";"0";"0.25";"4.3639946439727018E-2";"1.1601434290591142E-2";"1.3122573012758698";"0.13931994624862026";"0.6";"0.5";"0.58360935267380931";"0.58340243394072722";"0.4695879013044556";"0.4596341826193201";"0.67999999999999994";"0.46666666666666667"
"51";"50";"0";"0.25";"0.25";"0.25";"0";"0.25";"5.1311466540528539E-2";"1.1731189009063928E-2";"1.071879777717758";"0.10848719880445974";"0.6";"0.6";"0.61394128438234941";"0.5852827614620173";"0.34288735456943226";"0.32729167041454377";"0.67999999999999994";"0.6"
"52";"51";"0.25";"0.25";"0";"0";"0.25";"0.25";"2.3906631036975767E-2";"4.2184153320530462E-3";"0.85232478101496734";"8.3915939913774579E-2";"0.55000000000000004";"0.55000000000000004";"0.50558706148320198";"0.47641215334559228";"0.22716214986274169";"0.22182516485851389";"0.56000000000000005";"0.53333333333333344"
"53";"52";"0.25";"0";"0.25";"0";"0.25";"0.25";"2.0656951946676383E-2";"4.5004846391484103E-3";"1.0940616926122906";"0.11220899418320714";"0.6";"0.6";"0.49273836357894529";"0.48049973248942041";"0.35457921620094457";"0.34326662532985225";"0.67999999999999994";"0.6"
"54";"53";"0";"0.25";"0.25";"0";"0.25";"0.25";"3.744530886733255E-2";"7.6496364708332227E-3";"0.90634741377649941";"8.9207806647000787E-2";"0.55000000000000004";"0.65";"0.55911677215050537";"0.52613535119780797";"0.25563692989057063";"0.24453929174572642";"0.56000000000000005";"0.66666666666666674"
"55";"54";"0.25";"0";"0";"0.25";"0.25";"0.25";"3.0909105525877889E-2";"6.4045515450084599E-3";"0.97938295242239726";"0.10051545848293371";"0.55000000000000004";"0.65";"0.53327369662165158";"0.50809232756115441";"0.29413321914652135";"0.29307479944949211";"0.56000000000000005";"0.66666666666666674"
"56";"55";"0";"0.25";"0";"0.25";"0.25";"0.25";"1.8596936914321072E-2";"3.3533734040257137E-3";"0.89211830290643479";"9.2035138610223777E-2";"0.65";"0.4";"0.48459340215553204";"0.46387648478968668";"0.24813691033755858";"0.2566749671514762";"0.8";"0.33333333333333337"
"57";"56";"0";"0";"0.25";"0.25";"0.25";"0.25";"3.674867261544823E-2";"7.9207300152187576E-3";"1.0485706218343183";"0.10505869837655939";"0.6";"0.55000000000000004";"0.55636238671708382";"0.53006387617440931";"0.3306013356827715";"0.31257561695400732";"0.67999999999999994";"0.53333333333333344"
"58";"57";"0.2";"0.2";"0.2";"0.2";"0.2";"0";"8.0488558435171553E-2";"1.9958186933050365E-2";"1.3719744862129404";"0.13921781242198944";"0.55000000000000004";"0.6";"0.729302718253799";"0.70450347879811237";"0.50106422183978294";"0.45919579654224768";"0.56000000000000005";"0.6"
"59";"58";"0.2";"0.2";"0.2";"0.2";"0";"0.2";"5.4918669408154264E-2";"1.2980588034849142E-2";"1.1817844894410368";"0.11918730755668565";"0.55000000000000004";"0.55000000000000004";"0.62820357263839433";"0.60338830244663877";"0.40081700979665302";"0.37321943847019545";"0.56000000000000005";"0.53333333333333344"
"60";"59";"0.2";"0.2";"0.2";"0";"0.2";"0.2";"3.4682272584386054E-2";"7.3961799269373152E-3";"1.0107705759251921";"0.10084540413166844";"0.55000000000000004";"0.65";"0.54819218005645665";"0.52246241104928837";"0.31067731611387267";"0.29449101563728625";"0.56000000000000005";"0.66666666666666674"
"61";"60";"0.2";"0.2";"0";"0.2";"0.2";"0.2";"3.3732771892952318E-2";"6.7825440969699717E-3";"0.91844448536847889";"9.2027933357210712E-2";"0.6";"0.6";"0.54443801011994442";"0.51356996881121042";"0.26201317323441214";"0.25664404025186899";"0.67999999999999994";"0.6"
"62";"61";"0.2";"0";"0.2";"0.2";"0.2";"0.2";"4.4851849378388486E-2";"1.041265942743624E-2";"1.1628781273873889";"0.11817181319503997";"0.55000000000000004";"0.5";"0.58840101803997547";"0.56617542194364978";"0.39085165873757877";"0.36886066132283396";"0.56000000000000005";"0.46666666666666667"
"63";"62";"0";"0.2";"0.2";"0.2";"0.2";"0.2";"4.045604241517764E-2";"8.7768748104907444E-3";"0.9983920169739734";"0.1006007164707516";"0.6";"0.65";"0.57102071858692371";"0.54247061282111453";"0.30415270364721675";"0.29344074985056412";"0.67999999999999994";"0.66666666666666674"
"64";"63";"0.16700000000000001";"0.16700000000000001";"0.16700000000000001";"0.16700000000000001";"0.16700000000000001";"0.16700000000000001";"5.7509695715054487E-2";"1.2866486465096832E-2";"1.0484893463431333";"0.10496960436441091";"0.55000000000000004";"0.75";"0.63844806551115851";"0.60173481096399439";"0.33055849619837685";"0.31219320129638595";"0.56000000000000005";"0.8"
