"","indic_is.ind_type.unit.geo.time","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002"
"26","I_B3_12,CB_EU_FOR,PC_IND,MK",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"27","I_B3_12,CB_EU_FOR,PC_IND,MT","7 u","3 u","15 u","8 u","10 u","5 u","16 u","9 ",": ",": ",": ",": ",": ",": ",": ",": "
"28","I_B3_12,CB_EU_FOR,PC_IND,NL","5 ","10 ","13 ","13 ","7 ","15 ","13 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"29","I_B3_12,CB_EU_FOR,PC_IND,NO","14 ","14 ","11 ","15 ","12 u","20 u","14 u","19 ",": ",": ",": ",": ",": ",": ",": ",": "
"30","I_B3_12,CB_EU_FOR,PC_IND,PL",": u",": u","17 u","3 u",": u","4 u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"31","I_B3_12,CB_EU_FOR,PC_IND,PT","8 ","13 ","15 ","13 ","14 ","17 ","19 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"32","I_B3_12,CB_EU_FOR,PC_IND,RO",": u",": u",": ",": bu",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"33","I_B3_12,CB_EU_FOR,PC_IND,RS","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"34","I_B3_12,CB_EU_FOR,PC_IND,SE","12 ","15 b","12 ","15 ","11 ","14 u","12 ","21 ",": ",": ",": ",": ",": ",": ",": ",": "
"35","I_B3_12,CB_EU_FOR,PC_IND,SI","8 ","9 u","4 ","6 ","8 ",": u","12 u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"36","I_B3_12,CB_EU_FOR,PC_IND,SK","13 u","19 u","10 u","12 u","18 u","23 u","22 u","4 ",": ",": ",": ",": ",": ",": ",": ",": "
"37","I_B3_12,CB_EU_FOR,PC_IND,UK","7 ","5 ","5 ","6 ","12 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"38","I_B3_12,CB_EU_FOR,PC_IND_ILT12,AT","8 ","6 ","11 ","11 ","10 ","9 ","15 ","9 ",": ",": ",": ",": ",": ",": ",": ",": "
"39","I_B3_12,CB_EU_FOR,PC_IND_ILT12,BE","13 ","10 ","15 ","14 ","14 ","11 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"40","I_B3_12,CB_EU_FOR,PC_IND_ILT12,BG",": u","4 u",": u",": u",": u",": u",": u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"41","I_B3_12,CB_EU_FOR,PC_IND_ILT12,CH","4 b",": ",": ","4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"42","I_B3_12,CB_EU_FOR,PC_IND_ILT12,CY","10 ","12 ","9 ","5 ","6 ","6 ","10 ","9 ",": ",": ",": ",": ",": ",": ",": ",": "
"43","I_B3_12,CB_EU_FOR,PC_IND_ILT12,CZ","30 ","16 ","26 ","13 ","21 ","18 ","17 ","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"44","I_B3_12,CB_EU_FOR,PC_IND_ILT12,DE","10 ","12 ","10 ","13 ","11 ","13 ","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"45","I_B3_12,CB_EU_FOR,PC_IND_ILT12,DK","10 ","7 ","13 ","12 ","9 ","12 ","16 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"46","I_B3_12,CB_EU_FOR,PC_IND_ILT12,EA","11 ","13 ","13 ","12 ","11 ","12 ","11 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"47","I_B3_12,CB_EU_FOR,PC_IND_ILT12,EE","18 u","10 u","0 u",": bu","14 u","8 u","3 u","16 u",": ",": ",": ",": ",": ",": ",": ",": "
"48","I_B3_12,CB_EU_FOR,PC_IND_ILT12,EL","6 ","11 ","8 ","12 ","7 u","26 u","7 ","16 ",": ",": ",": ",": ",": ",": ",": ",": "
"49","I_B3_12,CB_EU_FOR,PC_IND_ILT12,ES","12 ","11 ","15 ","15 ","13 ","12 ","12 ","10 ",": ",": ",": ",": ",": ",": ",": ",": "
"50","I_B3_12,CB_EU_FOR,PC_IND_ILT12,EU15","11 ","11 ","12 ","11 ","11 ","12 ","11 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"51","I_B3_12,CB_EU_FOR,PC_IND_ILT12,EU27","11 ","11 ","12 ","11 ","11 ","12 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"52","I_B3_12,CB_EU_FOR,PC_IND_ILT12,EU28","11 ","11 ","12 ","11 ","12 ","12 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"53","I_B3_12,CB_EU_FOR,PC_IND_ILT12,FI","8 u","21 u","15 u","8 u","21 u","22 u","0 u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"54","I_B3_12,CB_EU_FOR,PC_IND_ILT12,FR","14 ","17 ","18 ","14 ","13 ","11 ","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"55","I_B3_12,CB_EU_FOR,PC_IND_ILT12,HR","4 ","19 ","1 u","5 ","34 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"56","I_B3_12,CB_EU_FOR,PC_IND_ILT12,HU","14 u","14 ","12 ","24 ","5 u","16 ","21 ","13 ",": ",": ",": ",": ",": ",": ",": ",": "
"57","I_B3_12,CB_EU_FOR,PC_IND_ILT12,IE","11 ","23 ","10 ","10 ","12 ","13 ","12 ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"58","I_B3_12,CB_EU_FOR,PC_IND_ILT12,IS","21 ",": ",": ","21 u","27 u","13 ","14 ","17 ",": ",": ",": ",": ",": ",": ",": ",": "
"59","I_B3_12,CB_EU_FOR,PC_IND_ILT12,IT","11 ","10 ","11 ","7 ","6 ",": u","7 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"60","I_B3_12,CB_EU_FOR,PC_IND_ILT12,LT","24 u",": u",": u","7 u",": u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"61","I_B3_12,CB_EU_FOR,PC_IND_ILT12,LU","11 ","10 ","12 ","12 ","12 ","12 ","13 ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"62","I_B3_12,CB_EU_FOR,PC_IND_ILT12,LV","11 ","15 b","7 u","7 u","12 ","12 u","5 u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"63","I_B3_12,CB_EU_FOR,PC_IND_ILT12,MK",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"64","I_B3_12,CB_EU_FOR,PC_IND_ILT12,MT","7 u","3 u","16 u","9 u","11 u",": u","16 u","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"65","I_B3_12,CB_EU_FOR,PC_IND_ILT12,NL","5 ","12 ","14 ","14 ","7 ","16 u","14 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"66","I_B3_12,CB_EU_FOR,PC_IND_ILT12,NO","14 ","14 ","11 ","16 ","13 u","21 u","14 u","20 ",": ",": ",": ",": ",": ",": ",": ",": "
"67","I_B3_12,CB_EU_FOR,PC_IND_ILT12,PL",": u",": u",": u","4 u",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"68","I_B3_12,CB_EU_FOR,PC_IND_ILT12,PT","8 ","14 ","15 ","14 ","15 ","20 ","22 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"69","I_B3_12,CB_EU_FOR,PC_IND_ILT12,RO",": u",": u",": ",": bu",": u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"70","I_B3_12,CB_EU_FOR,PC_IND_ILT12,RS","13 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"71","I_B3_12,CB_EU_FOR,PC_IND_ILT12,SE","12 ","17 bu","13 u","15 ","12 ","16 u","13 ","24 ",": ",": ",": ",": ",": ",": ",": ",": "
"72","I_B3_12,CB_EU_FOR,PC_IND_ILT12,SI","10 u","15 u","6 u","10 u","13 u",": u",": u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"73","I_B3_12,CB_EU_FOR,PC_IND_ILT12,SK","17 u","25 u","14 u","17 u","28 u","29 u","27 u","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"74","I_B3_12,CB_EU_FOR,PC_IND_ILT12,UK","8 ","6 ","5 ","6 ","13 ","10 u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"75","I_B3_12,CB_EXT_EU,PC_IND,AT","11 ","12 ","21 ","4 ","5 ","16 ","8 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"76","I_B3_12,CB_EXT_EU,PC_IND,BE","11 ","11 ","13 ","10 ","10 ","6 ","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"77","I_B3_12,CB_EXT_EU,PC_IND,BG","11 u","7 u","4 u","19 u","11 u","2 u","5 u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"78","I_B3_12,CB_EXT_EU,PC_IND,CH","4 b",": ",": ","2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"79","I_B3_12,CB_EXT_EU,PC_IND,CY","7 ","4 ","2 ","5 ","3 ","1 ","4 ","4 ",": ",": ",": ",": ",": ",": ",": ",": "
"80","I_B3_12,CB_EXT_EU,PC_IND,CZ","21 ","14 ","18 ","21 u","22 ",": ","15 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"81","I_B3_12,CB_EXT_EU,PC_IND,DE","8 ","13 ","12 ","10 ","10 ","8 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"82","I_B3_12,CB_EXT_EU,PC_IND,DK","18 ","12 ","9 ","12 ","13 ","10 ","10 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"83","I_B3_12,CB_EXT_EU,PC_IND,EA","10 ","11 ","11 ","8 ","8 ","9 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"84","I_B3_12,CB_EXT_EU,PC_IND,EE","9 ","6 ","7 ","6 b","3 ","4 ","3 ","3 ",": ",": ",": ",": ",": ",": ",": ",": "
"85","I_B3_12,CB_EXT_EU,PC_IND,EL","2 ","8 ","9 ","4 ","2 ","2 ","3 ","1 ",": ",": ",": ",": ",": ",": ",": ",": "
"86","I_B3_12,CB_EXT_EU,PC_IND,ES","10 ","9 ","9 ","8 ","6 ","9 ","5 ","5 ",": ",": ",": ",": ",": ",": ",": ",": "
"87","I_B3_12,CB_EXT_EU,PC_IND,EU15","9 ","9 ","9 ","8 ","9 ","9 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"88","I_B3_12,CB_EXT_EU,PC_IND,EU27","9 ","9 ","9 ","8 ","8 ","9 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"89","I_B3_12,CB_EXT_EU,PC_IND,EU28","9 ","9 ","9 ","8 ","8 ","9 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"90","I_B3_12,CB_EXT_EU,PC_IND,FI","16 u","19 u","12 u","27 u","16 u","11 ","21 u","11 ",": ",": ",": ",": ",": ",": ",": ",": "
"91","I_B3_12,CB_EXT_EU,PC_IND,FR","15 ","15 ","16 ","12 ","12 ","15 ","18 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"92","I_B3_12,CB_EXT_EU,PC_IND,HR","6 ","8 ","4 ","6 ","6 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"93","I_B3_12,CB_EXT_EU,PC_IND,HU","13 ","14 ","7 ","5 u","14 u","10 u","9 u","10 ",": ",": ",": ",": ",": ",": ",": ",": "
"94","I_B3_12,CB_EXT_EU,PC_IND,IE","10 ","26 ","8 ","8 ","11 ",": ","7 ","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"95","I_B3_12,CB_EXT_EU,PC_IND,IS","24 ",": ",": ","13 ","19 ","20 u","16 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"96","I_B3_12,CB_EXT_EU,PC_IND,IT","6 ","7 ","6 ","4 ","3 ",": u","3 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"97","I_B3_12,CB_EXT_EU,PC_IND,LT","8 ","3 ","5 ","4 ","6 ","1 ","2 ","2 ",": ",": ",": ",": ",": ",": ",": ",": "
"98","I_B3_12,CB_EXT_EU,PC_IND,LU","12 ","15 ","21 ","13 ","8 ","7 ","12 ","10 ",": ",": ",": ",": ",": ",": ",": ",": "
"99","I_B3_12,CB_EXT_EU,PC_IND,LV","11 ","9 b","8 ","6 ","7 ","5 ","5 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"100","I_B3_12,CB_EXT_EU,PC_IND,MK",": u","6 u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"101","I_B3_12,CB_EXT_EU,PC_IND,MT","8 u","5 u","0 u","6 ","8 ","8 u","13 u","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"102","I_B3_12,CB_EXT_EU,PC_IND,NL","12 ","7 ","12 ","10 ","12 ","13 ","13 ","17 ",": ",": ",": ",": ",": ",": ",": ",": "
"103","I_B3_12,CB_EXT_EU,PC_IND,NO","16 ","21 ","12 ","18 ","13 ","11 u","11 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"104","I_B3_12,CB_EXT_EU,PC_IND,PL",": u","13 u",": u","9 ","3 ","8 u","2 u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"105","I_B3_12,CB_EXT_EU,PC_IND,PT","9 ","5 ","7 ","8 ","15 ","14 ","11 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"106","I_B3_12,CB_EXT_EU,PC_IND,RO","2 u","2 ",": u",": bu",": u",": u",": u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"107","I_B3_12,CB_EXT_EU,PC_IND,RS","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"108","I_B3_12,CB_EXT_EU,PC_IND,SE","12 ","9 b","10 ","7 ","14 ","16 ","12 ","15 ",": ",": ",": ",": ",": ",": ",": ",": "
"109","I_B3_12,CB_EXT_EU,PC_IND,SI","6 ","6 ","7 ","4 ","4 ","6 ","3 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"110","I_B3_12,CB_EXT_EU,PC_IND,SK",": u",": u",": u",": u",": ",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"111","I_B3_12,CB_EXT_EU,PC_IND,UK","5 ","6 ","4 ","8 ","9 ","6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"112","I_B3_12,CB_EXT_EU,PC_IND_ILT12,AT","12 ","14 ","23 ","4 ","7 ","20 ","9 ","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"113","I_B3_12,CB_EXT_EU,PC_IND_ILT12,BE","13 ","13 ","16 ","13 ","14 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"114","I_B3_12,CB_EXT_EU,PC_IND_ILT12,BG","13 u","8 u",": u","22 u","12 u","2 u","6 u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"115","I_B3_12,CB_EXT_EU,PC_IND_ILT12,CH","4 b",": ",": ","2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"116","I_B3_12,CB_EXT_EU,PC_IND_ILT12,CY","8 ","5 ","2 ","6 ","4 ","2 ","8 ","9 ",": ",": ",": ",": ",": ",": ",": ",": "
"117","I_B3_12,CB_EXT_EU,PC_IND_ILT12,CZ","23 ","15 ","20 u","24 u","26 ",": ","19 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"118","I_B3_12,CB_EXT_EU,PC_IND_ILT12,DE","9 ","14 ","14 ","11 ","12 ","10 ","14 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"119","I_B3_12,CB_EXT_EU,PC_IND_ILT12,DK","18 ","12 ","10 ","12 ","13 ","11 ","12 ","17 ",": ",": ",": ",": ",": ",": ",": ",": "
"120","I_B3_12,CB_EXT_EU,PC_IND_ILT12,EA","12 ","13 ","14 ","11 ","11 ","13 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"121","I_B3_12,CB_EXT_EU,PC_IND_ILT12,EE","12 ","8 ","10 ","10 b","5 ","6 ","5 ","5 ",": ",": ",": ",": ",": ",": ",": ",": "
"122","I_B3_12,CB_EXT_EU,PC_IND_ILT12,EL","3 ","11 ","14 ","7 ","3 ","4 ","6 ","3 ",": ",": ",": ",": ",": ",": ",": ",": "
"123","I_B3_12,CB_EXT_EU,PC_IND_ILT12,ES","11 ","11 ","10 ","9 ","8 ","12 ","6 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"124","I_B3_12,CB_EXT_EU,PC_IND_ILT12,EU15","10 ","11 ","11 ","10 ","11 ","11 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"125","I_B3_12,CB_EXT_EU,PC_IND_ILT12,EU27","11 ","11 ","11 ","10 ","11 ","11 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"126","I_B3_12,CB_EXT_EU,PC_IND_ILT12,EU28","11 ","11 ","11 ","10 ","11 ","11 ","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"127","I_B3_12,CB_EXT_EU,PC_IND_ILT12,FI","18 u","19 u","12 u","28 u","17 u","11 ","21 u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"128","I_B3_12,CB_EXT_EU,PC_IND_ILT12,FR","17 ","18 ","18 ","15 ","17 ","20 ","24 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"129","I_B3_12,CB_EXT_EU,PC_IND_ILT12,HR","10 ","11 ","6 ","9 ","10 ","19 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"130","I_B3_12,CB_EXT_EU,PC_IND_ILT12,HU","16 ","17 ","9 ","6 u","19 u","13 u","10 u","19 ",": ",": ",": ",": ",": ",": ",": ",": "
"131","I_B3_12,CB_EXT_EU,PC_IND_ILT12,IE","11 ","28 ","8 ","8 ","12 ",": ","8 ","13 ",": ",": ",": ",": ",": ",": ",": ",": "
"132","I_B3_12,CB_EXT_EU,PC_IND_ILT12,IS","24 ",": ",": ","13 ","20 ","20 u","16 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"133","I_B3_12,CB_EXT_EU,PC_IND_ILT12,IT","8 ","10 ","10 ","7 ","6 ",": u","6 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"134","I_B3_12,CB_EXT_EU,PC_IND_ILT12,LT","11 ","6 ","9 ","7 ","10 ","1 ","4 ","5 ",": ",": ",": ",": ",": ",": ",": ",": "
"135","I_B3_12,CB_EXT_EU,PC_IND_ILT12,LU","13 ","15 ","22 ","14 ","8 ","7 ","13 ","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"136","I_B3_12,CB_EXT_EU,PC_IND_ILT12,LV","16 ","13 b","11 ","9 ","12 ","9 ","11 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"137","I_B3_12,CB_EXT_EU,PC_IND_ILT12,MK",": u","10 u",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"138","I_B3_12,CB_EXT_EU,PC_IND_ILT12,MT","9 u","6 u","0 u","6 u","9 u","9 u","15 u","9 ",": ",": ",": ",": ",": ",": ",": ",": "
"139","I_B3_12,CB_EXT_EU,PC_IND_ILT12,NL","13 ","9 ","14 ","12 ","14 ","15 ","14 ","19 ",": ",": ",": ",": ",": ",": ",": ",": "
"140","I_B3_12,CB_EXT_EU,PC_IND_ILT12,NO","17 ","21 ","12 ","18 ","14 ","11 u","11 ","16 ",": ",": ",": ",": ",": ",": ",": ",": "
"141","I_B3_12,CB_EXT_EU,PC_IND_ILT12,PL",": u","14 u",": u","16 u","5 ",": u",": u",": ",": ",": ",": ",": ",": ",": ",": ",": "
"142","I_B3_12,CB_EXT_EU,PC_IND_ILT12,PT","11 ","6 ","8 ","10 ","18 ","16 ","13 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"143","I_B3_12,CB_EXT_EU,PC_IND_ILT12,RO","2 u","3 u",": u",": bu",": u",": u",": u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"144","I_B3_12,CB_EXT_EU,PC_IND_ILT12,RS","12 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"145","I_B3_12,CB_EXT_EU,PC_IND_ILT12,SE","12 ","10 b","13 ","9 ","14 ","17 ","12 ","16 ",": ",": ",": ",": ",": ",": ",": ",": "
"146","I_B3_12,CB_EXT_EU,PC_IND_ILT12,SI","9 ","8 ","12 ","6 ","8 ","11 ","6 ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"147","I_B3_12,CB_EXT_EU,PC_IND_ILT12,SK",": u",": u",": u",": u",": ",": u",": u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"148","I_B3_12,CB_EXT_EU,PC_IND_ILT12,UK","5 ","6 ","5 ","9 ","9 ","7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"149","I_B3_12,CB_FOR,PC_IND,AT","9 ","8 ","15 ","6 ","7 ","12 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"150","I_B3_12,CB_FOR,PC_IND,BE","11 ","10 ","13 ","11 ","10 ","8 ","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"151","I_B3_12,CB_FOR,PC_IND,BG","6 ","5 ","9 ","16 ","12 u","1 u","4 u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"152","I_B3_12,CB_FOR,PC_IND,CH","4 b",": ",": ","3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"153","I_B3_12,CB_FOR,PC_IND,CY","8 ","8 ","5 ","5 ","4 ","3 ","6 ","5 ",": ",": ",": ",": ",": ",": ",": ",": "
"154","I_B3_12,CB_FOR,PC_IND,CZ","23 ","13 ","19 ","13 ","16 ","12 ","13 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"155","I_B3_12,CB_FOR,PC_IND,DE","8 ","11 ","10 ","9 ","9 ","8 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"156","I_B3_12,CB_FOR,PC_IND,DK","15 ","10 ","11 ","12 ","11 ","10 ","11 ","14 ",": ",": ",": ",": ",": ",": ",": ",": "
"157","I_B3_12,CB_FOR,PC_IND,EA","10 ","10 ","11 ","9 ","8 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"158","I_B3_12,CB_FOR,PC_IND,EE","9 ","6 ","7 ","7 b","4 ","4 ","3 ","3 ",": ",": ",": ",": ",": ",": ",": ",": "
"159","I_B3_12,CB_FOR,PC_IND,EL","2 ","8 ","9 ","6 ","2 ","5 ","3 ","3 ",": ",": ",": ",": ",": ",": ",": ",": "
"160","I_B3_12,CB_FOR,PC_IND,ES","10 ","10 ","10 ","9 ","8 ","9 ","6 ","6 ",": ",": ",": ",": ",": ",": ",": ",": "
"161","I_B3_12,CB_FOR,PC_IND,EU15","9 ","9 ","9 ","9 ","9 ","9 ","9 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
